group,variable,value
iPhone X 64Go,Galaxy S20 FE,0
iPhone X 64Go,Galaxy S20 FE 5G,0
iPhone X 64Go,Galaxy S20 Ultra 5G,0
iPhone X 64Go,Galaxy S20+,0
iPhone X 64Go,iPhone 11 64Go,0
iPhone X 64Go,iPhone 11 Pro 64Go,0.12
iPhone X 64Go,iPhone 11 Pro Max 64Go,0
iPhone X 64Go,iPhone 12 128Go,0.12
iPhone X 64Go,iPhone 12 64Go,0.41
iPhone X 64Go,iPhone 12 mini 128Go,0
iPhone X 64Go,iPhone 12 mini 64Go,0.18
iPhone X 64Go,iPhone 12 Pro 128Go,0.12
iPhone X 64Go,iPhone 12 Pro Max 128Go,0
iPhone X 64Go,iPhone SE 2020 64Go,0
iPhone X 64Go,Mi 10,0
iPhone X 64Go,MI 10 LITE,0
iPhone X 64Go,Mi 10T,0
iPhone X 64Go,Mi 10T Lite,0
iPhone X 64Go,MI 10T PRO,0
iPhone X 64Go,P30 Pro 128Go,0
iPhone X 64Go,P40 PRO,0
iPhone 8 Plus 64Go,Galaxy Note 10 Lite,0
iPhone 8 Plus 64Go,Galaxy Note20,0
iPhone 8 Plus 64Go,Galaxy Note20 5G,0
iPhone 8 Plus 64Go,Galaxy Note20 Ultra 5G,0
iPhone 8 Plus 64Go,Galaxy S10 128Go,0
iPhone 8 Plus 64Go,Galaxy S20,0
iPhone 8 Plus 64Go,Galaxy S20 5G,0
iPhone 8 Plus 64Go,Galaxy S20 FE,0
iPhone 8 Plus 64Go,Galaxy S20 FE 5G,0
iPhone 8 Plus 64Go,Galaxy S20 Ultra 5G,0
iPhone 8 Plus 64Go,Galaxy S20+,0
iPhone 8 Plus 64Go,iPhone 11 64Go,0
iPhone 8 Plus 64Go,iPhone 11 Pro 64Go,0.09
iPhone 8 Plus 64Go,iPhone 11 Pro Max 64Go,0.18
iPhone 8 Plus 64Go,iPhone 12 128Go,0.09
iPhone 8 Plus 64Go,iPhone 12 64Go,0.64
iPhone 8 Plus 64Go,iPhone 12 mini 128Go,0
iPhone 8 Plus 64Go,iPhone 12 mini 64Go,0
iPhone 8 Plus 64Go,iPhone 12 Pro 128Go,0
iPhone 8 Plus 64Go,iPhone 12 Pro Max 128Go,0
iPhone 8 Plus 64Go,iPhone SE 2020 64Go,0
iPhone 8 Plus 64Go,Mi 10,0
iPhone 8 Plus 64Go,MI 10 LITE,0
iPhone 8 Plus 64Go,Mi 10T,0
iPhone 8 Plus 64Go,Mi 10T Lite,0
iPhone 8 Plus 64Go,MI 10T PRO,0
iPhone 8 Plus 64Go,P30 Pro 128Go,0
iPhone 8 Plus 64Go,P40 PRO,0
iPhone Xs 64Go,Galaxy Note 10 Lite,0
iPhone Xs 64Go,Galaxy Note20,0
iPhone Xs 64Go,Galaxy Note20 5G,0
iPhone Xs 64Go,Galaxy Note20 Ultra 5G,0
iPhone Xs 64Go,Galaxy S10 128Go,0
iPhone Xs 64Go,Galaxy S20,0
iPhone Xs 64Go,Galaxy S20 5G,0
iPhone Xs 64Go,Galaxy S20 FE,0
iPhone Xs 64Go,Galaxy S20 FE 5G,0
iPhone Xs 64Go,Galaxy S20 Ultra 5G,0
iPhone Xs 64Go,Galaxy S20+,0
iPhone Xs 64Go,iPhone 11 64Go,0.08
iPhone Xs 64Go,iPhone 11 Pro 64Go,0
iPhone Xs 64Go,iPhone 11 Pro Max 64Go,0.17
iPhone Xs 64Go,iPhone 12 128Go,0
iPhone Xs 64Go,iPhone 12 64Go,0.67
iPhone Xs 64Go,iPhone 12 mini 128Go,0
iPhone Xs 64Go,iPhone 12 mini 64Go,0.08
iPhone Xs 64Go,iPhone 12 Pro 128Go,0
iPhone Xs 64Go,iPhone 12 Pro Max 128Go,0
iPhone Xs 64Go,iPhone SE 2020 64Go,0
iPhone Xs 64Go,Mi 10,0
iPhone Xs 64Go,MI 10 LITE,0
iPhone Xs 64Go,Mi 10T,0
iPhone Xs 64Go,Mi 10T Lite,0
iPhone Xs 64Go,MI 10T PRO,0
iPhone Xs 64Go,P30 Pro 128Go,0
iPhone Xs 64Go,P40 PRO,0
Mate20 Pro,Galaxy Note 10 Lite,0
Mate20 Pro,Galaxy Note20,0
Mate20 Pro,Galaxy Note20 5G,0
Mate20 Pro,Galaxy Note20 Ultra 5G,0.13
Mate20 Pro,Galaxy S10 128Go,0
Mate20 Pro,Galaxy S20,0
Mate20 Pro,Galaxy S20 5G,0
Mate20 Pro,Galaxy S20 FE,0
Mate20 Pro,Galaxy S20 FE 5G,0
Mate20 Pro,Galaxy S20 Ultra 5G,0
Mate20 Pro,Galaxy S20+,0
Mate20 Pro,iPhone 11 64Go,0
Mate20 Pro,iPhone 11 Pro 64Go,0
Mate20 Pro,iPhone 11 Pro Max 64Go,0.13
Mate20 Pro,iPhone 12 128Go,0
Mate20 Pro,iPhone 12 64Go,0.13
Mate20 Pro,iPhone 12 mini 128Go,0
Mate20 Pro,iPhone 12 mini 64Go,0
Mate20 Pro,iPhone 12 Pro 128Go,0
Mate20 Pro,iPhone 12 Pro Max 128Go,0
Mate20 Pro,iPhone SE 2020 64Go,0.13
Mate20 Pro,Mi 10,0.13
Mate20 Pro,MI 10 LITE,0
Mate20 Pro,Mi 10T,0
Mate20 Pro,Mi 10T Lite,0
Mate20 Pro,MI 10T PRO,0.25
Mate20 Pro,P30 Pro 128Go,0
Mate20 Pro,P40 PRO,0.13
